id,fuente,fecha,dia_sem,ccaa,provincia,municipio,carretera,pkm,lat,lon,fallecidos,alcohol,droga,huido,genero,ciclistas
"76",https://www.20minutos.es/noticia/2484490/0/muere-ciclista-atropellado-por-turismo-balazote-albacete/,2015/06/09 09:15:00,Martes,Castilla-La Mancha,Albacete,Balazote,CM-3135,"28",38.928035,-2.139808,"1",,,,,Desconocido
"77",http://pedaleandoporcanarias.com/2015/10/atropello-mortal-de-un-ciclista-en-las-galletas/,2015/10/15 09:30:00,Jueves,Canarias,Tenerife,Las Galletas (Tenerife),TF-66,,28.021623,-16.67815,"1",,,,,Desconocido
"78",https://www.20minutos.es/noticia/2496190/0/muere-ciclista-atropellado-por-camion-gualta-girona/,2015/06/23 11:00:00,Martes,Cataluña/Catalunya,Girona,Gualta,C-31,"347",42.029735,3.1281759,"1",,,,,Desconocido
"79",https://www.20minutos.es/noticia/2407637/0/fallece-ciclista-74-anos-al-ser-atropellado-maria-salut/,2015/03/17 11:15:00,Martes,Illes Balears,Illes Balears,Maria de la Salut (Mallorca),MA-3340,,39.655666,3.0978822,"1",,,,,Desconocido
"80",https://www.20minutos.es/noticia/2411795/0/muere-ciclista/atropello-fuga/el-puerto-cadiz/,2015/03/22 12:30:00,Domingo,Andalucía,Cádiz,Puerto de Santa María,A-2001,"8",36.645071,-6.262116,"1",,,Sí,Hombre,Desconocido
"81",https://www.esciclismo.com/ampliada.asp?Id=32602,2015/01/07 19:00:00,Miércoles,Castilla y León,Burgos,Medina de Pomar,BU-551,"17",42.950375,-3.459633,"1",,,,,Desconocido
"82",http://pedaleandoporcanarias.com/2015/12/fallece-un-ciclista-por-colision-con-una-guagua-en-santa-cruz/,2015/12/05 10:00:00,Sábado,Canarias,Tenerife,Santa Cruz de Tenerife (Tenerife),TF-11,,28.491763,-16.22275,"1",,,,,Víctor M. H. G
"83",https://www.esciclismo.com/ampliada.asp?Id=32712,2015/01/17 12:45:00,Sábado,Cataluña/Catalunya,Tarragona,Rodonyà,C-51z,"21",41.290699,1.3817044,"1",,,,,Desconocido
"84",https://www.20minutos.es/noticia/2554792/0/muere-ciclista-atropellado-autopista/,2015/09/12 16:15:00,Sábado,Illes Balears,Illes Balears,,MA-19,,39.494015,2.7910437,"1",,,,,Desconocido
"85",https://www.20minutos.es/noticia/2362582/0/muere-ciclista-atropellado-por-vehiculo-cuyo-conductor-da-negativo-alcohol-drogas/,2015/01/30 17:30:00,Jueves,Andalucía,Almería,Níjar,AL-3108,"5",36.860163,-2.163057,"1",No,No,No,Hombre,M.S.C.
"86",https://www.20minutos.es/noticia/2511868/0/fallece-ciclista-tras-ser-atropellado-por-turismo-segura-gipuzkoa/,2015/07/11 17:45:00,Sábado,País Vasco/Euskadi,Gipuzkoa,Segura,GI-3261,,43.015802,-2.273607,"1",,,,,Desconocido
"87",https://www.20minutos.es/noticia/2457529/0/fallece-ciclista-al-ser-atropellado-por-camion-arteixo-coruna/,2015/05/11 18:45:00,Lunes,Galicia,A Coruña,Arteixo,AC-415,,43.343014,-8.452415,"1",,,,,I.M.R.
"88",https://www.20minutos.es/noticia/2544482/0/fallece-ciclista-tras-ser-atropellado-por-coche-don-benito-badajoz/,2015/08/30 19:00:00,Domingo,Extremadura,Badajoz,Don Benito,EX-345,"1",38.947457,-5.868787,"1",,,,,Desconocido
"89",https://www.20minutos.es/noticia/2632711/0/sucesos-muere-ciclista-a-5026-palos-tras-ser-atropellado-por-turismo/,2015/12/18 19:30:00,Viernes,Andalucía,Huelva,Palos de la Frontera,A-5026,"3",37.210993,-6.887109,"1",,,,,Desconocido
"90",https://www.20minutos.es/noticia/2462277/0/fallece-ciclista-atropellado-por-camion-via-servicio-a-7-nijar/,2015/05/15 21:15:00,Viernes,Andalucía,Almería,Nijar,A-7,"487",36.906233,-2.212643,"1",,,,,Desconocido
"91",https://www.20minutos.es/noticia/2390885/0/fallece-ciclista-tras-ser-atropellado-quintanaortuno-burgos/,2015/02/27 21:45:00,Viernes,Castilla y León,Burgos,Quintanaortuño,N-623,"10",42.447497,-3.681859,"1",,,,,Desconocido
"92",https://elpais.com/ccaa/2015/08/20/madrid/1440059406_451083.html,2015/08/12 00:00:00,Miércoles,Comunidad de Madrid,Madrid,Buitrago de Lozoya,M-126,,40.981266,-3.627622,"1",,,Sí,Hombre,Desconocido
"93",https://www.20minutos.es/noticia/2714562/0/muere-ciclista-cubelles-barcelona-atropellado-por-coche/,2016/04/06 04:30:00,Miércoles,Cataluña/Catalunya,Barcelona,Cubelles,C-31,"137",41.206697,1.6695626,"1",,,,,Desconocido
"94",https://www.20minutos.es/noticia/2707662/0/muere-ciclista/atropellado/mataro/,2016/03/29 07:00:00,Martes,Cataluña/Catalunya,Barcelona,Mataró,N-II,,41.539632,2.4544316,"1",,,,,Desconocido
"95",https://www.20minutos.es/noticia/2807586/0/fallece-atropellado-ciclista-67-anos-tarazona-mancha-albacete/,2016/07/29 08:00:00,Lunes,Castilla-La Mancha,Albacete,Tarazona de la Mancha,CM-220,"25",39.186914,-1.741563,"1",,,,,Desconocido
"96",http://www.campeonesaranjuez.com/2016/07/un-ciclista-muy-grave-tras-ser.html,2016/07/05 10:00:00,Domingo,Castilla-La Mancha,Toledo,Seseña,M-305,,40.092641,-3.622979,"1",,,,,J.A.B
"97",https://www.20minutos.es/noticia/2820961/0/fallecen-ciclistas-botorrita-zaragoza/,2016/08/21 10:00:00,Lunes,Aragón,Zaragoza,Botorrita,N-330,"476",41.520131,-1.029866,"2",Sí,,No,Hombre,"Desconocido, Desconocido"
"98",https://www.farodevigo.es/sucesos/2016/03/12/ciclista-fallece-10-resultan-heridos/1421727.html,2016/03/13 11:15:00,Sábado,Galicia,Pontevedra,A Guarda,PO-552,"44",41.944527,-8.881864,"2",No,No,No,Hombre,"Desconocido, Desconocido"
"99",https://www.20minutos.es/noticia/2751885/0/fallece-ciclista-75-anos-atropellado-por-turismo-medina-campo-valladolid/,2016/05/20 12:00:00,Viernes,Castilla y León,Valladolid,Medina del Campo,VP-8903,"5",41.293027,-4.947168,"1",,,,,M.G.B
"100",https://as.com/ciclismo/2016/12/12/mas_ciclismo/1481568361_885972.html,2016/12/12 13:00:00,Lunes,Cataluña/Catalunya,Tarragona,Vilabella,TP-2031,"19",41.256945,1.3166692,"1",No,No,Sí,Hombre,Desconocido
